$K_1$ (km/s),$\gamma_{TO95}$ (km/s),$\gamma_{FEROS}$ (km/s),$\gamma_{FEROS2}$ (km/s),$\gamma_{ELODIE}$ (km/s),$\gamma_{CTIO}$ (km/s),$\gamma_{Mercator}$ (km/s),$\gamma_{HARPS}$ (km/s),$\gamma_{NIRPS}$ (km/s)
6.809262358975862,12.823222572663065,13.82289669250137,11.741678396962223,12.37461455576155,11.849376336941152,12.817168799859097,12.395062086970489,12.370647513916838
6.907119389863947,12.708382090057029,14.469555442318526,12.183708166586296,11.75836292419993,11.867907561914564,12.875309769746218,9.627250683481856,10.619033702512468
6.690855334574743,12.7464167006986,14.718818324255702,12.588785527005077,12.40741837822573,11.734548978081657,12.698455850632214,11.549340692296358,11.769525448981554
6.8670956476295695,12.82304355574475,15.22052530070837,11.139575105573744,13.17748939059701,11.983291291969513,12.786941311295244,11.929899495054704,11.541427879749342
6.705254980354825,13.045998267823224,13.869278384253665,12.336888160592942,11.538335652771279,11.798838576505926,12.871682503765449,12.352411623810804,11.61512247812238
6.851711966423705,12.640180632029425,14.708470174423077,11.858400038604104,12.728745097642665,11.882638817627685,12.896321590075823,11.93008798405209,10.78020951704634
6.974298834204946,12.993056090777973,13.956905670242094,11.907390927306963,11.47830411363689,11.93229379658472,12.86989481355944,11.69892644450254,11.129380103194206
6.759008999285813,12.947632596638703,14.297447910615798,13.015395276854463,12.293012435784906,11.887388565768223,13.018941652932803,12.07625275761617,11.94755360487274
6.623526982951785,12.919751916568828,14.205449093490808,11.919605242304645,11.82178278897642,11.873977405566443,12.943381460439085,12.722716294168364,12.417012499942796
6.619755469209055,12.937609627017366,14.40620108361157,11.746355783257394,11.827641628393671,11.807455133657546,12.916637463907318,12.633128552754066,12.544722564639939
7.016176660112583,12.750951164162812,14.390764185460473,12.165821685903715,12.144623537697933,12.015405992419531,12.780430417114362,12.456076717528324,11.355202783366053
6.940938216213873,12.861420111207398,14.458059111418716,10.462109085237737,11.831299456433516,11.844551257459422,12.950733401674144,11.26691166018525,11.197987677838144
6.822643439652019,12.92264078878246,14.801996030331917,12.930519153309234,12.216829868167839,12.171477199153038,12.91105315205089,11.410482250279987,11.918195669264998
6.815046357952921,12.937281325733082,15.14742618570005,12.30220732392025,11.826491638676673,12.034202242794908,12.838576109105901,11.958933528757331,11.634445038637097
6.8182779219189955,12.740585408960872,14.620699607566348,11.138594076493472,12.105048105648487,12.01743949478963,12.994815402853671,12.137483676680077,11.792365906003146
6.85064142398516,12.818940086648373,14.675251012553721,12.597852497303386,11.7935520214204,11.944402627335258,12.936356280234394,12.312465755818442,11.272567198667435
6.810627196268673,12.802701689623877,14.41151160384592,12.03255598865001,12.476537357710775,11.880706153977,12.97546860622332,12.35796505170369,11.292129453891073
6.879306944892062,12.83662805083884,14.690799852548771,11.893674928372892,11.735231094800334,11.92756411408631,12.636156977286504,11.494538573174495,11.854519496006224
6.775961326338668,12.830793858660535,14.020225432431523,11.652757657485944,12.272672711817979,11.90608895201614,13.106619434033355,11.908193721067386,11.651349196444007
6.990365969588191,12.768779943853367,14.503637913126294,12.595524383744863,11.368977909987954,12.004901782480681,12.86914866549296,11.771742094511318,11.141417089756628
6.593063416753656,12.918347947871851,14.207382877354402,11.913342255843487,13.106485097985008,11.593120662556553,12.812921537318125,12.364605306215424,11.695293236587005
6.570544066242223,12.940949558994541,14.068362584843737,13.972204773067112,12.980418000093222,11.5311135558761,12.680797305401278,13.256413566730055,11.651216176510298
6.623844347510746,12.871542541312749,14.15260314532006,12.78512769395251,12.31741990135507,11.6855358507687,12.732009458829182,11.296037959664089,11.835759041292308
6.557630452265764,12.893907816880583,13.87452762450742,11.505546205448951,11.602000689580395,11.718670593450744,12.948248488006506,11.902237660850252,11.710223215877186
6.7047344422387125,12.764569585551445,14.115605480097305,9.933151468431387,12.278480825311917,11.828023147703338,12.898869692381176,10.775548031431107,11.752576078707492
6.72477973409798,12.718807172806887,14.162733130568837,12.204408532009996,12.735241225549748,11.798879436510157,12.783816576832297,12.24131425179528,11.174823514427226
6.945612291084073,12.949921883171417,14.595816232595704,12.1156511757478,12.337894948897619,12.064908243433349,12.923146055746225,11.461984110368704,11.673627685397939
6.9228873732398615,12.943278178849386,14.420420157763816,11.750341534936052,12.255152265739193,12.026124096459256,12.734186258286474,11.93983196268491,11.805295677240329
