K1 [km/s],K2 [km/s],$\gamma_{AB}$ [km/s],$\pi$ [mas],$MA$ [$M_{\odot}$],$MB$ [$M_{\odot}$]
4.175597877724601,3.5943960864285684,9.015386956786468,21.519717437729422,1.2221833842867398,1.4198063382293304
4.230274848942606,3.5751450044520863,8.918396379820123,21.44919060372385,1.2233872837743436,1.4475677072180624
4.100827108176631,3.6949201889394416,9.224057026570645,21.658255487621993,1.2240165316454126,1.3584813520068473
4.099200090229805,3.6963147328265813,9.232015270052772,21.6563861683874,1.2258557385224211,1.359469719754406
4.073804446117327,3.5264725850092673,8.747974501066944,21.78723250128573,1.2243843093083857,1.414416849352506
4.099642073470531,3.478905735128883,8.728782984926923,21.75878745662682,1.2348915975762838,1.455231597245741
4.1751430096336275,3.5340141552515005,9.02863432066712,21.524397853552152,1.2484615532161525,1.4749532111978223
3.8741076901923623,3.765650204514593,9.087464858447099,21.99474897111446,1.2216097251618399,1.2567942781805244
3.9267141397858563,3.7208940136539015,9.167175002305324,21.567880792251703,1.3240295295648572,1.397267822237931
3.836427476820244,3.7007778819065176,9.122885579616419,22.0718184613333,1.2173220203804678,1.2619421635540162
4.061776702834758,3.488395465747944,8.919603144194115,22.12009870662498,1.1420537584389747,1.3297710637912743
3.9289552760509707,3.711772900018365,9.062483169764072,21.821980279821176,1.259898193480411,1.333617057912529
3.7499202793538102,3.8257969533371194,9.238987482462216,21.911697400997923,1.2951335855183272,1.2694473219680649
3.96109605879348,3.6766294888218742,9.095063788321143,21.758248285719134,1.260193967248132,1.357697144125728
3.948523669722016,3.7903682801876206,9.149343810744123,21.601031068860262,1.2933354991986623,1.3473006985022773
3.913071481212586,3.6672547657646737,8.979893729443138,21.894276243606733,1.2466070316506095,1.3301673146272215
3.880424364787358,3.7103963662876183,9.01549226985787,21.82198458993315,1.2755244753300718,1.3339750698671708
3.659816296212863,3.730720548683887,9.303057177648821,22.393254785651994,1.2308798881374299,1.2074863862090177
4.029365789629054,3.8126749545863388,9.025898510723904,21.426011060469985,1.2970860681158571,1.3708050886382324
3.669506059962218,4.020357914650468,9.312543526298139,21.781438762939114,1.3518074825150561,1.2338368509218995
3.9803675675054593,3.7981260891807467,9.082187234024413,21.537653382413506,1.300142193702705,1.3625255453475218
3.8373255852746375,3.993311240844434,9.369973358892137,21.260795356567733,1.4193771064770586,1.3639337775949933
4.094760832501432,3.403070747687253,8.734001796252365,22.253694437888644,1.1011244410344725,1.3249331463127019
4.096109159121173,3.392419615795114,8.73693750695453,22.26175534593942,1.0983120332823213,1.326134879704817
3.7103194715398344,3.8760106262915506,9.176933962464295,22.021078694881293,1.2722991353892572,1.217911071666648
