K1 [km/s],K2 [km/s],$\gamma_{AB}$ [km/s],$\pi$ [mas],$MA$ [$M_{\odot}$],$MB$ [$M_{\odot}$],$a$ (AU),$d$ (pc)
3.531005473836566,3.7794153719101113,9.612425731358115,22.59012286588125,1.2827247063599654,1.1984149700098548,53.12755296907212,44.26713417793488
3.978789684936363,3.5222769442946222,9.009440357126088,22.150949380527827,1.234798513909159,1.3948373929184037,52.2811077233525,45.14479189226387
3.8064510481031784,3.7262665531019725,9.38503768334457,21.925543928178623,1.3525955777781773,1.3817017063386048,54.92558741249592,45.6089027152847
3.6807807010325866,3.7986034850371047,9.589322317537833,22.084028684674056,1.3568470583868002,1.3147611974862878,54.69098138071054,45.28159305887803
3.4867840264111605,3.9382979645999656,9.542135099717141,22.157906443599828,1.4100156112306852,1.2483615903168237,55.41888262144254,45.1306174861499
3.9404090738020305,3.56462337698069,9.065567547431364,22.24959838099429,1.2175559421732578,1.3459117485967933,50.28424462667771,44.944631488458896
3.6744779231400826,3.847507745458508,9.303532627182939,22.07352977403874,1.3436235583925038,1.283198223096967,51.318187914537425,45.30313050231442
3.9740294081301717,3.504530538466318,8.980639237588758,22.361627805640353,1.1846605538770478,1.3433684849039624,49.681795386001475,44.719463569095204
3.6377200718356475,3.8139877635221313,9.342201027022236,22.253554315383298,1.3366877159035182,1.2749112045991382,53.374092002703534,44.93664184281458
3.81267243342204,3.688208715048254,9.207548111268867,22.154386634479454,1.2909610474126672,1.3345263184292224,52.06918916965989,45.137787676038556
3.942091183986956,3.433268742546952,9.086545207887134,22.374409665756737,1.1905561271338851,1.3670007112039988,53.63337666376141,44.693916618969645
3.712570889639649,3.8572160499386436,9.317119879891917,22.063232664170005,1.3524662126698284,1.3017488845249052,51.100050993984794,45.32427388231138
3.751390763976581,3.7489261389459236,9.200648518970535,22.000834925789384,1.3584137056258638,1.3593067561413414,55.48435493060596,45.45282046672691
3.732326985039759,3.718381510366037,8.997325747614003,22.165804462246996,1.3290488860216318,1.3340333712145804,54.266874095995114,45.114536749758365
3.9170705839339686,3.533308938464278,8.93340071903232,22.33272621582137,1.198718905708455,1.3289148064128662,50.583675011430984,44.777336646502256
4.129220404310779,3.2322395524914436,8.846003348731328,22.396604280271752,1.1188556094243154,1.4293499404619654,53.290111081967986,44.64962578639026
3.7902580627172457,3.5996404639242363,8.942196674345166,22.326326330591307,1.2653878387216344,1.332395972944028,54.05026379890033,44.79017215787131
3.5627883553563353,3.9066606775319412,9.425383850458903,22.23448755098548,1.351993127672014,1.232987906908447,51.83549376473867,44.97517641038135
3.7001820415168445,3.7077820179611907,9.108476329036796,22.4190232731412,1.2480634778623287,1.245505276493733,50.13844205856591,44.604976221155724
3.5722599912779844,3.8495833122767458,9.341180154235136,22.277709328472582,1.3325126303988488,1.2365186492434053,51.867300381664045,44.8879184684363
3.9465533102150188,3.553967487419598,8.976862654852983,21.999722860639096,1.2988468783455722,1.442322830848105,56.49654536919797,45.45511806374409
4.041022023718336,3.5407412791051653,8.963432833561745,21.75416715840606,1.3142693448215137,1.499965953136182,56.472637426136835,45.96820428556781
3.4096573215183716,3.725261494597912,9.317166166128368,22.922016011774204,1.263405859749275,1.1563701087803209,55.6552127753095,43.62618015301693
3.4480393973316366,3.8659671918637706,9.500545092758214,22.353981500937703,1.3797979679258374,1.230635832549008,57.491178394704946,44.734760112333994
3.7873775300694015,3.5811674867712955,9.097340745766887,22.48452770736512,1.240311967053611,1.3117313534336308,53.6312001564116,44.475028028826955
3.580868935957833,3.7308469315216617,9.30166020279865,22.562874569443263,1.2864683024652093,1.2347529839593816,53.63693669881894,44.320593855283526
3.9779862164184854,3.626428429707359,9.095527950761905,21.70613836353899,1.3493889158341161,1.480203073581454,56.605097150869646,46.069917331760664
3.933215427263088,3.5529715919832867,8.79924412043826,21.977978509704826,1.3048420216327463,1.4444879833002662,56.759433592158786,45.50008999046157
3.864784339152342,3.4636503548028674,8.81047384720391,22.38074041350841,1.2183061457946016,1.3594012184373643,55.67712759744933,44.68127423507522
3.6782159112321087,3.8228470681528615,9.241838839172713,22.199555931911128,1.3379629803429929,1.2873433425928364,52.08861909501012,45.045946102125995
3.8265748837713907,3.6003607636141215,9.032411642225904,22.367955856725256,1.2191730160788805,1.2957748260805315,50.499648861166136,44.70681212022042
3.7363473175143223,3.860979441901125,9.233135926567318,21.998310642109125,1.361104920470249,1.3171685565749758,51.16946927661156,45.45803613145647
3.6763498765223734,3.8137670659042655,9.182218791104704,22.259034154160226,1.311743637091269,1.2644790504807797,50.573503349469654,44.925579118764205
3.761554178323815,3.77072736327959,9.119278743115016,22.16170411735572,1.3122165292781574,1.3090242526255635,51.004217420421845,45.12288381365312
3.322323774978784,4.01123021204522,9.582019568812715,22.40024467612017,1.403959009668664,1.1628368730648382,54.881556185419896,44.64236951242109
3.912688661221952,3.5914976589153493,9.067125719224148,22.14183857624365,1.2640298049433256,1.3770731753009102,52.38485465945826,45.16336782767971
